지하철역코드,지하철역명,시군구명,위도,경도
246,삼각지역,용산구,37.53479096260079,126.97328083090586
247,녹사평(용산구청)역,용산구,37.53489214268974,126.98664574454246
248,숙대입구(갈월)역,용산구,37.545264225612115,126.97176135641871
249,서빙고역,용산구,37.51949580748297,126.98953626942787
250,이촌(국립중앙박물관)역,용산구,37.52243958997263,126.97444671029878
251,신용산역,용산구,37.52959680687353,126.96827687497643
252,효창공원앞역,용산구,37.53867222482999,126.96287530604673
254,구파발역,은평구,37.63702699636522,126.91899211696432
255,불광역,은평구,37.61117376260042,126.92958881062188
256,녹번역,은평구,37.60091946507972,126.93576542871705
257,연신내역,은평구,37.61916046901461,126.92086949978284
258,새절(신사)역,은평구,37.59151721910183,126.91391731295879
260,역촌역,은평구,37.60588462747197,126.923048451063
261,응암역,은평구,37.59896321504193,126.91592500447203
262,독바위역,은평구,37.61845276897667,126.93296148008154
263,증산(명지대앞)역,서대문구,37.58352926196434,126.90949508586425
264,구산역,은평구,37.611632093566115,126.91706864190141
265,종로3가역,종로구,37.571237685905345,126.9921282612262
267,혜화역,종로구,37.58157333415387,127.00200419541304
268,동묘앞역,종로구,37.57329730966541,127.01665530024687
269,안국역,종로구,37.57622646659184,126.98515892357797
270,창신역,종로구,37.579717519991405,127.01528687380042
270,창신역,중구,37.56640449784868,127.01833435466037
271,경복궁(정부서울청사)역,종로구,37.575965675947124,126.97413365201709
272,동대문역,종로구,37.57110593971035,127.00976666369658
273,종각역,종로구,37.57044199061286,126.9833657641669
275,회현(남대문시장)역,중구,37.55890427386682,126.97907355303846
277,청구역,중구,37.56024933622041,127.01383762318397
278,약수역,중구,37.55486270741788,127.01091782508675
279,동대입구역,중구,37.55885563564389,127.0053515758039
281,을지로3가역,중구,37.566147936268656,126.99099170395573
282,동대문역사문화공원역,중구,37.565868382504576,127.00909956240862
283,충무로역,중구,37.56134894018797,126.99338924584126
284,서울역역,중구,37.55625496080715,126.97232633932614
284,서울역역,용산구,37.55270122392351,126.97276551031285
285,을지로4가역,중구,37.566457222103665,126.99799738511024
286,버티고개역,중구,37.548193242270244,127.00738870965667
287,시청역,중구,37.56431993168064,126.97564721525154
288,을지로입구역,중구,37.566119417495074,126.98260642600862
289,신내역,중랑구,37.61304690483601,127.1034525574782
290,망우역,중랑구,37.59978956125915,127.09210209428791
291,상봉(시외버스터미널)역,중랑구,37.596595078735,127.08582488181527
292,중화역,중랑구,37.60230158736344,127.07917976297286
293,양원역,중랑구,37.60660738513951,127.1079427312282
294,봉화산(서울의료원)역,중랑구,37.61723424087117,127.09154608593866
295,용마산역,중랑구,37.57422778065785,127.08678440035503
297,먹골역,중랑구,37.61098277468011,127.07789443323499
298,사가정역,중랑구,37.580575730241755,127.0882701339492
299,면목역,중랑구,37.58847546853265,127.0873440951114
