기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20251,11440720,성산1동,5919302,2658235,3261068,800756,950453,1186097,1146385,843744,991866,1576176,1250179,697352,690815,948708,756073,840496,836017,838268,833028,838223,862714,870557
20251,11440710,연남동,6695602,2961410,3734193,634310,1707355,1523455,1098596,766790,965097,1629215,1269080,818488,893290,1244154,841374,922120,906621,918186,930583,954064,1051291,1012739
20251,11440700,망원2동,5759684,2610286,3149398,844323,794652,1023905,1022158,902762,1171884,1648451,1177839,617169,619586,918615,778023,807180,796452,803642,801686,796238,862147,892338
20251,11440690,망원1동,6888566,3037465,3851101,694497,1328255,1507774,1188020,880268,1289751,1955349,1349010,744325,782088,1126295,931499,944668,934575,944347,947331,959464,1082118,1076061
20251,11440680,합정동,4581859,2123060,2458799,419544,1064022,1119259,773762,558221,647053,998090,882143,620046,632114,882571,566896,635855,639907,640019,653495,677400,683893,651287
20251,11440660,서교동,17338634,7720131,9618503,1971841,5838683,3602167,2552026,1649818,1724098,2887994,2812749,2580913,3029447,3975077,2052452,2356452,2335876,2359379,2432861,2599799,2784648,2469619
20251,11440655,서강동,6077000,2878704,3198296,909373,1457483,1048100,955163,733882,973001,1530717,1230108,746009,767473,1041876,760816,852128,850913,859256,864360,880468,892218,877657
20251,11440630,신수동,4950213,2357075,2593139,863601,830957,759637,836568,721974,937477,1271058,1035040,601625,598401,824393,619697,699539,700331,701626,708650,703148,712653,724268
20251,11440610,염리동,5522692,2450321,3072371,1051694,716996,958204,1130969,781532,883296,1482917,1144637,640158,631237,886615,737129,790660,790430,790324,794306,795489,769883,791601
20251,11440600,대흥동,6638894,3006333,3632561,916926,1992680,1061624,960281,761840,945544,1478073,1372169,887447,898843,1200953,801409,949036,958060,953700,965562,973566,942911,896059
20251,11440590,용강동,5642605,2604831,3037774,1164416,575388,922303,1107476,839739,1033285,1415890,1163565,704659,702191,967357,688943,815380,814962,811020,822625,827607,788539,762473
20251,11440585,도화동,4181729,1943276,2238453,466616,570058,845562,759665,646737,893094,912276,839028,558018,560651,796180,515577,598038,594672,588343,594769,604518,608499,592890
20251,11440565,공덕동,12922123,5920016,7002109,1776683,1845494,2416310,2194299,2022150,2667188,3547702,2729591,1492741,1450245,2023242,1678601,1851048,1845522,1842894,1843370,1850355,1843988,1844947
20251,11440555,아현동,7929131,3404392,4524739,1634543,925853,1457218,1428754,1106617,1376147,1990660,1715610,990782,984354,1282263,965462,1150437,1148993,1142577,1152422,1154026,1096168,1084507
20251,11410720,북가좌2동,10095710,4551008,5544703,1599868,1359943,1465076,1625151,1543474,2502199,2785526,2045163,1091149,1118419,1680458,1374996,1424395,1414668,1422996,1405685,1405273,1491866,1530825
20251,11410710,북가좌1동,2533135,1156764,1376372,551668,245041,334898,444941,387102,569487,739353,521135,261654,258428,398237,354328,358163,355799,357159,355976,355811,369878,380348
